,教科等,学習指導要領テキスト
2320,理科,イ　光を当てたときの明るさや暖かさの様子，音を出したときの震え方の様子について追究する中で，差異点や共通点を基に，光と音の性質についての問題を見いだし，表現すること。
2321,理科,"(4) 磁石の性質
磁石の性質について，磁石を身の回りの物に近付けたときの様子に着目して，それらを比較しながら調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2322,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2323,理科,(ｱ) 磁石に引き付けられる物と引き付けられない物があること。また，磁石に近付けると磁石になる物があること。
2324,理科,(ｲ) 磁石の異極は引き合い，同極は退け合うこと。
2325,理科,イ　磁石を身の回りの物に近付けたときの様子について追究する中で，差異点や共通点を基に，磁石の性質についての問題を見いだし，表現すること。
2326,理科,"(5) 電気の通り道
電気の回路について，乾電池と豆電球などのつなぎ方と乾電池につないだ物の様子に着目して，電気を通すときと通さないときのつなぎ方を比較しながら調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2327,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2328,理科,(ｱ) 電気を通すつなぎ方と通さないつなぎ方があること。
2329,理科,(ｲ) 電気を通す物と通さない物があること。
2330,理科,イ　乾電池と豆電球などのつなぎ方と乾電池につないだ物の様子について追究する中で，差異点や共通点を基に，電気の回路についての問題を見いだし，表現すること。
2331,理科,Ｂ　生命・地球
2332,理科,"(1) 身の回りの生物
身の回りの生物について，探したり育てたりする中で，それらの様子や周辺の環境，成長の過程や体のつくりに着目して，それらを比較しながら調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2333,理科,ア  次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2334,理科,(ｱ) 生物は，色，形，大きさなど，姿に違いがあること。また，周辺の環境と関わって生きていること。
2335,理科,(ｲ) 昆虫の育ち方には一定の順序があること。また，成虫の体は頭，胸及び腹からできていること。
2336,理科,(ｳ) 植物の育ち方には一定の順序があること。また，その体は根，茎及び葉からできていること。
2337,理科,イ　身の回りの生物の様子について追究する中で，差異点や共通点を基に，身の回りの生物と環境との関わり，昆虫や植物の成長のきまりや体のつくりについての問題を見いだし，表現すること。
2338,理科,"(2) 太陽と地面の様子
太陽と地面の様子との関係について，日なたと日陰の様子に着目して，それらを比較しながら調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2339,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2340,理科,(ｱ) 日陰は太陽の光を遮るとでき，日陰の位置は太陽の位置の変化によって変わること。
2341,理科,(ｲ) 地面は太陽によって暖められ，日なたと日陰では地面の暖かさや湿り気に違いがあること。
2342,理科,イ　日なたと日陰の様子について追究する中で，差異点や共通点を基に，太陽と地面の様子との関係についての問題を見いだし，表現すること。
2343,理科,３　内容の取扱い
2344,理科,(1) 内容の「Ａ物質・エネルギー」の指導に当たっては，３種類以上のものづくりを行うものとする。
2345,理科,(2) 内容の「Ａ物質・エネルギー」の(4)のアの(ｱ)については，磁石が物を引き付ける力は，磁石と物の距離によって変わることにも触れること。
2346,理科,(3) 内容の「Ｂ生命・地球」の(1)については，次のとおり取り扱うものとする。
2347,理科,ア　アの(ｲ)及び(ｳ)については，飼育，栽培を通して行うこと。
2348,理科,イ　アの(ｳ)の「植物の育ち方」については，夏生一年生の双子葉植物を扱うこと。
2349,理科,(4) 内容の「Ｂ生命・地球」の(2)のアの(ｱ)の「太陽の位置の変化」については，東から南，西へと変化することを取り扱うものとする。また，太陽の位置を調べるときの方位は東，西，南，北を扱うものとする。
2350,理科,〔第４学年〕
2351,理科,１　目標　
2352,理科,(1) 物質・エネルギー
2353,理科,①　空気，水及び金属の性質，電流の働きについての理解を図り，観察，実験などに関する基本的な技能を身に付けるようにする。
2354,理科,②　空気，水及び金属の性質，電流の働きについて追究する中で，主に既習の内容や生活経験を基に，根拠のある予想や仮説を発想する力を養う。
2355,理科,③　空気，水及び金属の性質，電流の働きについて追究する中で，主体的に問題解決しようとする態度を養う。
2356,理科,(2) 生命・地球
2357,理科,①　人の体のつくりと運動，動物の活動や植物の成長と環境との関わり，雨水の行方と地面の様子，気象現象，月や星についての理解を図り，観察，実験などに関する基本的な技能を身に付けるようにする。
2358,理科,②　人の体のつくりと運動，動物の活動や植物の成長と環境との関わり，雨水の行方と地面の様子，気象現象，月や星について追究する中で，主に既習の内容や生活経験を基に，根拠のある予想や仮説を発想する力を養う。
2359,理科,③　人の体のつくりと運動，動物の活動や植物の成長と環境との関わり，雨水の行方と地面の様子，気象現象，月や星について追究する中で，生物を愛護する態度や主体的に問題解決しようとする態度を養う。
2360,理科,２　内容
2361,理科,Ａ　物質・エネルギー
2362,理科,"(1) 空気と水の性質
空気と水の性質について，体積や圧《お》し返す力の変化に着目して，それらと圧《お》す力とを関係付けて調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2363,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2364,理科,(ｱ) 閉じ込めた空気を圧《お》すと，体積は小さくなるが，圧《お》し返す力は大きくなること。
2365,理科,(ｲ) 閉じ込めた空気は圧《お》し縮められるが，水は圧《お》し縮められないこと。
2366,理科,イ　空気と水の性質について追究する中で，既習の内容や生活経験を基に，空気と水の体積や圧《お》し返す力の変化と圧《お》す力との関係について，根拠のある予想や仮説を発想し，表現すること。
2367,理科,"(2) 金属，水，空気と温度
金属，水及び空気の性質について，体積や状態の変化，熱の伝わり方に着目して，それらと温度の変化とを関係付けて調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2368,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2369,理科,(ｱ) 金属，水及び空気は，温めたり冷やしたりすると，それらの体積が変わるが，その程度には違いがあること。
2370,理科,(ｲ) 金属は熱せられた部分から順に温まるが，水や空気は熱せられた部分が移動して全体が温まること。
2371,理科,(ｳ) 水は，温度によって水蒸気や氷に変わること。また，水が氷になると体積が増えること。
2372,理科,イ　金属，水及び空気の性質について追究する中で，既習の内容や生活経験を基に，金属，水及び空気の温度を変化させたときの体積や状態の変化，熱の伝わり方について，根拠のある予想や仮説を発想し，表現すること。
2373,理科,"(3) 電流の働き
電流の働きについて，電流の大きさや向きと乾電池につないだ物の様子に着目して，それらを関係付けて調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2374,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2375,理科,(ｱ) 乾電池の数やつなぎ方を変えると，電流の大きさや向きが変わり，豆電球の明るさやモーターの回り方が変わること。
2376,理科,イ　電流の働きについて追究する中で，既習の内容や生活経験を基に，電流の大きさや向きと乾電池につないだ物の様子との関係について，根拠のある予想や仮説を発想し，表現すること。
2377,理科,Ｂ　生命・地球
2378,理科,"(1) 人の体のつくりと運動
人や他の動物について，骨や筋肉のつくりと働きに着目して，それらを関係付けて調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2379,理科,ア  次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2380,理科,(ｱ) 人の体には骨と筋肉があること。
2381,理科,(ｲ) 人が体を動かすことができるのは，骨，筋肉の働きによること。
2382,理科,イ　人や他の動物について追究する中で，既習の内容や生活経験を基に，人や他の動物の骨や筋肉のつくりと働きについて，根拠のある予想や仮説を発想し，表現すること。
2383,理科,"(2) 季節と生物
身近な動物や植物について，探したり育てたりする中で，動物の活動や植物の成長と季節の変化に着目して，それらを関係付けて調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2384,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2385,理科,(ｱ) 動物の活動は，暖かい季節，寒い季節などによって違いがあること。
2386,理科,(ｲ) 植物の成長は，暖かい季節，寒い季節などによって違いがあること。
2387,理科,イ　身近な動物や植物について追究する中で，既習の内容や生活経験を基に，季節ごとの動物の活動や植物の成長の変化について，根拠のある予想や仮説を発想し，表現すること。
2388,理科,"(3) 雨水の行方と地面の様子
雨水の行方と地面の様子について，流れ方やしみ込み方に着目して，それらと地面の傾きや土の粒の大きさとを関係付けて調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2389,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2390,理科,(ｱ) 水は，高い場所から低い場所へと流れて集まること。
2391,理科,(ｲ) 水のしみ込み方は，土の粒の大きさによって違いがあること。
2392,理科,イ　雨水の行方と地面の様子について追究する中で，既習の内容や生活経験を基に，雨水の流れ方やしみ込み方と地面の傾きや土の粒の大きさとの関係について，根拠のある予想や仮説を発想し，表現すること。
2393,理科,"(4) 天気の様子
天気や自然界の水の様子について，気温や水の行方に着目して，それらと天気の様子や水の状態変化とを関係付けて調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2394,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2395,理科,(ｱ) 天気によって１日の気温の変化の仕方に違いがあること。
2396,理科,(ｲ) 水は，水面や地面などから蒸発し，水蒸気になって空気中に含まれていくこと。また，空気中の水蒸気は，結露して再び水になって現れることがあること。
2397,理科,イ　天気や自然界の水の様子について追究する中で，既習の内容や生活経験を基に，天気の様子や水の状態変化と気温や水の行方との関係について，根拠のある予想や仮説を発想し，表現すること。
2398,理科,"(5) 月と星
月や星の特徴について，位置の変化や時間の経過に着目して，それらを関係付けて調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2399,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2400,理科,(ｱ) 月は日によって形が変わって見え，1日のうちでも時刻によって位置が変わること。
2401,理科,(ｲ) 空には，明るさや色の違う星があること。
2402,理科,(ｳ) 星の集まりは，１日のうちでも時刻によって，並び方は変わらないが，位置が変わること。
2403,理科,イ　月や星の特徴について追究する中で，既習の内容や生活経験を基に，月や星の位置の変化と時間の経過との関係について，根拠のある予想や仮説を発想し，表現すること。
2404,理科,３　内容の取扱い
2405,理科,(1) 内容の「Ａ物質・エネルギー」の(3)のアの(ｱ)については，直列つなぎと並列つなぎを扱うものとする。
2406,理科,(2) 内容の「Ａ物質・エネルギー」の指導に当たっては，２種類以上のものづくりを行うものとする。
2407,理科,(3) 内容の「Ｂ生命・地球」の(1)のアの(ｲ)については，関節の働きを扱うものとする。
2408,理科,(4) 内容の「Ｂ生命・地球」の(2)については，１年を通じて動物の活動や植物の成長をそれぞれ２種類以上観察するものとする。
2409,理科,〔第５学年〕
2410,理科,１　目標　
2411,理科,(1) 物質・エネルギー
2412,理科,①　物の溶け方，振り子の運動，電流がつくる磁力についての理解を図り，観察，実験などに関する基本的な技能を身に付けるようにする。
2413,理科,②　物の溶け方，振り子の運動，電流がつくる磁力について追究する中で，主に予想や仮説を基に，解決の方法を発想する力を養う。
2414,理科,③　物の溶け方，振り子の運動，電流がつくる磁力について追究する中で，主体的に問題解決しようとする態度を養う。
2415,理科,(2) 生命・地球
2416,理科,①　生命の連続性，流れる水の働き，気象現象の規則性についての理解を図り，観察，実験などに関する基本的な技能を身に付けるようにする。
2417,理科,②　生命の連続性，流れる水の働き，気象現象の規則性について追究する中で，主に予想や仮説を基に，解決の方法を発想する力を養う。
2418,理科,③　生命の連続性，流れる水の働き，気象現象の規則性について追究する中で，生命を尊重する態度や主体的に問題解決しようとする態度を養う。
2419,理科,２　内容
2420,理科,Ａ　物質・エネルギー
2421,理科,"(1) 物の溶け方
物の溶け方について，溶ける量や様子に着目して，水の温度や量などの条件を制御しながら調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2422,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2423,理科,(ｱ) 物が水に溶けても，水と物とを合わせた重さは変わらないこと。
2424,理科,(ｲ) 物が水に溶ける量には，限度があること。
2425,理科,(ｳ) 物が水に溶ける量は水の温度や量，溶ける物によって違うこと。また，この性質を利用して，溶けている物を取り出すことができること。
2426,理科,イ　物の溶け方について追究する中で，物の溶け方の規則性についての予想や仮説を基に，解決の方法を発想し，表現すること。
2427,理科,"(2) 振り子の運動
振り子の運動の規則性について，振り子が１往復する時間に着目して，おもりの重さや振り子の長さなどの条件を制御しながら調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2428,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2429,理科,(ｱ) 振り子が１往復する時間は，おもりの重さなどによっては変わらないが，振り子の長さによって変わること。
2430,理科,イ　振り子の運動の規則性について追究する中で，振り子が１往復する時間に関係する条件についての予想や仮説を基に，解決の方法を発想し，表現すること。
2431,理科,"(3) 電流がつくる磁力
電流がつくる磁力について，電流の大きさや向き，コイルの巻数などに着目して，それらの条件を制御しながら調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2432,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2433,理科,(ｱ) 電流の流れているコイルは，鉄心を磁化する働きがあり，電流の向きが変わると，電磁石の極も変わること。
2434,理科,(ｲ) 電磁石の強さは，電流の大きさや導線の巻数によって変わること。
2435,理科,イ　電流がつくる磁力について追究する中で，電流がつくる磁力の強さに関係する条件についての予想や仮説を基に，解決の方法を発想し，表現すること。
2436,理科,Ｂ　生命・地球
2437,理科,"(1) 植物の発芽，成長，結実
植物の育ち方について，発芽，成長及び結実の様子に着目して，それらに関わる条件を制御しながら調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2438,理科,ア  次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2439,理科,(ｱ) 植物は，種子の中の養分を基にして発芽すること。
2440,理科,(ｲ) 植物の発芽には，水，空気及び温度が関係していること。
2441,理科,(ｳ) 植物の成長には，日光や肥料などが関係していること。
2442,理科,(ｴ) 花にはおしべやめしべなどがあり，花粉がめしべの先に付くとめしべのもとが実になり，実の中に種子ができること。
2443,理科,イ　植物の育ち方について追究する中で，植物の発芽，成長及び結実とそれらに関わる条件についての予想や仮説を基に，解決の方法を発想し，表現すること。
2444,理科,"(2) 動物の誕生
動物の発生や成長について，魚を育てたり人の発生についての資料を活用したりする中で，卵や胎児の様子に着目して，時間の経過と関係付けて調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2445,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2446,理科,(ｱ) 魚には雌雄があり，生まれた卵は日がたつにつれて中の様子が変化してかえること。
2447,理科,(ｲ) 人は，母体内で成長して生まれること。
2448,理科,イ　動物の発生や成長について追究する中で，動物の発生や成長の様子と経過についての予想や仮説を基に，解決の方法を発想し，表現すること。
2449,理科,"(3) 流れる水の働きと土地の変化
流れる水の働きと土地の変化について，水の速さや量に着目して，それらの条件を制御しながら調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2450,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2451,理科,(ｱ) 流れる水には，土地を侵食したり，石や土などを運搬したり堆積させたりする働きがあること。
2452,理科,(ｲ) 川の上流と下流によって，川原の石の大きさや形に違いがあること。
2453,理科,(ｳ) 雨の降り方によって，流れる水の量や速さは変わり，増水により土地の様子が大きく変化する場合があること。
2454,理科,イ　流れる水の働きについて追究する中で，流れる水の働きと土地の変化との関係についての予想や仮説を基に，解決の方法を発想し，表現すること。
2455,理科,"(4) 天気の変化
天気の変化の仕方について，雲の様子を観測したり，映像などの気象情報を活用したりする中で，雲の量や動きに着目して，それらと天気の変化とを関係付けて調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2456,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2457,理科,(ｱ) 天気の変化は，雲の量や動きと関係があること。
2458,理科,(ｲ) 天気の変化は，映像などの気象情報を用いて予想できること。
2459,理科,イ　天気の変化の仕方について追究する中で，天気の変化の仕方と雲の量や動きとの関係についての予想や仮説を基に，解決の方法を発想し，表現すること。
2460,理科,３　内容の取扱い
2461,理科,(1) 内容の「Ａ物質・エネルギー」の指導に当たっては，２種類以上のものづくりを行うものとする。
2462,理科,(2) 内容の「Ａ物質・エネルギー」の(1)については，水溶液の中では，溶けている物が均一に広がることにも触れること。
2463,理科,(3) 内容の「Ｂ生命・地球」の(1)については，次のとおり取り扱うものとする。
2464,理科,ア　アの(ｱ)の「種子の中の養分」については，でんぷんを扱うこと。
2465,理科,イ　アの(ｴ)については，おしべ，めしべ，がく及び花びらを扱うこと。また，受粉については，風や昆虫などが関係していることにも触れること。
2466,理科,(4) 内容の「Ｂ生命・地球」の(2)のアの(ｲ)については，人の受精に至る過程は取り扱わないものとする。
2467,理科,(5) 内容の「Ｂ生命・地球」の(3)のアの(ｳ)については，自然災害についても触れること。
2468,理科,(6) 内容の「Ｂ生命・地球」の(4)のアの(ｲ)については，台風の進路による天気の変化や台風と降雨との関係及びそれに伴う自然災害についても触れること。
2469,理科,〔第６学年〕
2470,理科,１　目標　
2471,理科,(1) 物質・エネルギー
2472,理科,①　燃焼の仕組み，水溶液の性質，てこの規則性及び電気の性質や働きについての理解を図り，観察，実験などに関する基本的な技能を身に付けるようにする。
2473,理科,②　燃焼の仕組み，水溶液の性質，てこの規則性及び電気の性質や働きについて追究する中で，主にそれらの仕組みや性質，規則性及び働きについて，より妥当な考えをつくりだす力を養う。
2474,理科,③　燃焼の仕組み，水溶液の性質，てこの規則性及び電気の性質や働きについて追究する中で，主体的に問題解決しようとする態度を養う。
2475,理科,(2) 生命・地球
2476,理科,①　生物の体のつくりと働き，生物と環境との関わり，土地のつくりと変化，月の形の見え方と太陽との位置関係についての理解を図り，観察，実験などに関する基本的な技能を身に付けるようにする。
2477,理科,②　生物の体のつくりと働き，生物と環境との関わり，土地のつくりと変化，月の形の見え方と太陽との位置関係について追究する中で，主にそれらの働きや関わり，変化及び関係について，より妥当な考えをつくりだす力を養う。
2478,理科,③　生物の体のつくりと働き，生物と環境との関わり，土地のつくりと変化，月の形の見え方と太陽との位置関係について追究する中で，生命を尊重する態度や主体的に問題解決しようとする態度を養う。
2479,理科,２　内容
2480,理科,Ａ　物質・エネルギー
2481,理科,"(1) 燃焼の仕組み
燃焼の仕組みについて，空気の変化に着目して，物の燃え方を多面的に調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2482,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2483,理科,(ｱ) 植物体が燃えるときには，空気中の酸素が使われて二酸化炭素ができること。
2484,理科,イ　燃焼の仕組みについて追究する中で，物が燃えたときの空気の変化について，より妥当な考えをつくりだし，表現すること。
2485,理科,"(2) 水溶液の性質
水溶液について，溶けている物に着目して，それらによる水溶液の性質や働きの違いを多面的に調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2486,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2487,理科,(ｱ) 水溶液には，酸性，アルカリ性及び中性のものがあること。
2488,理科,(ｲ) 水溶液には，気体が溶けているものがあること。
2489,理科,(ｳ) 水溶液には，金属を変化させるものがあること。
2490,理科,イ　水溶液の性質や働きについて追究する中で，溶けているものによる性質や働きの違いについて，より妥当な考えをつくりだし，表現すること。
2491,理科,"(3) てこの規則性
てこの規則性について，力を加える位置や力の大きさに着目して，てこの働きを多面的に調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2492,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2493,理科,(ｱ) 力を加える位置や力の大きさを変えると，てこを傾ける働きが変わり，てこがつり合うときにはそれらの間に規則性があること。
2494,理科,(ｲ) 身の回りには，てこの規則性を利用した道具があること。
2495,理科,イ　てこの規則性について追究する中で，力を加える位置や力の大きさとてこの働きとの関係について，より妥当な考えをつくりだし，表現すること。
2496,理科,"(4) 電気の利用
発電や蓄電，電気の変換について，電気の量や働きに着目して，それらを多面的に調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2497,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2498,理科,(ｱ) 電気は，つくりだしたり蓄えたりすることができること。
2499,理科,(ｲ) 電気は，光，音，熱，運動などに変換することができること。
2500,理科,(ｳ) 身の回りには，電気の性質や働きを利用した道具があること。
2501,理科,イ　電気の性質や働きについて追究する中で，電気の量と働きとの関係，発電や蓄電，電気の変換について，より妥当な考えをつくりだし，表現すること。
2502,理科,Ｂ　生命・地球
2503,理科,"(1) 人の体のつくりと働き
人や他の動物について，体のつくりと呼吸，消化，排出及び循環の働きに着目して，生命を維持する働きを多面的に調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2504,理科,ア  次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2505,理科,(ｱ) 体内に酸素が取り入れられ，体外に二酸化炭素などが出されていること。
2506,理科,(ｲ) 食べ物は，口，胃，腸などを通る間に消化，吸収され，吸収されなかった物は排出されること。
2507,理科,(ｳ) 血液は，心臓の働きで体内を巡り，養分，酸素及び二酸化炭素などを運んでいること。
2508,理科,(ｴ) 体内には，生命活動を維持するための様々な臓器があること。
2509,理科,イ　人や他の動物の体のつくりと働きについて追究する中で，体のつくりと呼吸，消化，排出及び循環の働きについて，より妥当な考えをつくりだし，表現すること。
2510,理科,"(2) 植物の養分と水の通り道
植物について，その体のつくり，体内の水などの行方及び葉で養分をつくる働きに着目して，生命を維持する働きを多面的に調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2511,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2512,理科,(ｱ) 植物の葉に日光が当たるとでんぷんができること。
2513,理科,(ｲ) 根，茎及び葉には，水の通り道があり，根から吸い上げられた水は主に葉から蒸散により排出されること。
2514,理科,イ　植物の体のつくりと働きについて追究する中で，体のつくり，体内の水などの行方及び葉で養分をつくる働きについて，より妥当な考えをつくりだし，表現すること。
2515,理科,"(3) 生物と環境
生物と環境について，動物や植物の生活を観察したり資料を活用したりする中で，生物と環境との関わりに着目して，それらを多面的に調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2516,理科,ア  次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2517,理科,(ｱ) 生物は，水及び空気を通して周囲の環境と関わって生きていること。
2518,理科,(ｲ) 生物の間には，食う食われるという関係があること。
2519,理科,(ｳ) 人は，環境と関わり，工夫して生活していること。
2520,理科,イ　生物と環境について追究する中で，生物と環境との関わりについて，より妥当な考えをつくりだし，表現すること。
2521,理科,"(4) 土地のつくりと変化
土地のつくりと変化について，土地やその中に含まれる物に着目して，土地のつくりやでき方を多面的に調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2522,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2523,理科,(ｱ) 土地は，礫《れき》，砂，泥，火山灰などからできており，層をつくって広がっているものがあること。また，層には化石が含まれているものがあること。
2524,理科,(ｲ) 地層は，流れる水の働きや火山の噴火によってできること。
2525,理科,(ｳ) 土地は，火山の噴火や地震によって変化すること。
2526,理科,イ　土地のつくりと変化について追究する中で，土地のつくりやでき方について，より妥当な考えをつくりだし，表現すること。
2527,理科,"(5) 月と太陽
月の形の見え方について，月と太陽の位置に着目して，それらの位置関係を多面的に調べる活動を通して，次の事項を身に付けることができるよう指導する。"
2528,理科,ア　次のことを理解するとともに，観察，実験などに関する技能を身に付けること。
2529,理科,(ｱ) 月の輝いている側に太陽があること。また，月の形の見え方は，太陽と月との位置関係によって変わること。
2530,理科,イ　月の形の見え方について追究する中で，月の位置や形と太陽の位置との関係について，より妥当な考えをつくりだし，表現すること。
2531,理科,３　内容の取扱い
2532,理科,(1) 内容の「Ａ物質・エネルギー」の指導に当たっては，２種類以上のものづくりを行うものとする。
2533,理科,(2) 内容の「Ａ物質・エネルギー」の(4)のアの(ｱ)については，電気をつくりだす道具として，手回し発電機，光電池などを扱うものとする。
2534,理科,(3) 内容の「Ｂ生命・地球」の(1)については，次のとおり取り扱うものとする。
2535,理科,ア　アの(ｳ)については，心臓の拍動と脈拍とが関係することにも触れること。
2536,理科,イ　アの(ｴ)については，主な臓器として，肺，胃，小腸，大腸，肝臓，腎臓，心臓を扱うこと。
2537,理科,(4) 内容の「Ｂ生命・地球」の(3)については，次のとおり取り扱うものとする。
2538,理科,ア　アの(ｱ)については，水が循環していることにも触れること。
2539,理科,イ　アの(ｲ)については，水中の小さな生物を観察し，それらが魚などの食べ物になっていることに触れること。
2540,理科,(5) 内容の「Ｂ生命・地球」の(4)については，次のとおり取り扱うものとする。
2541,理科,ア　アの(ｲ)については，流れる水の働きでできた岩石として礫《れき》岩，砂岩，泥岩を扱うこと。
2542,理科,イ　アの(ｳ)については，自然災害についても触れること。
2543,理科,(6) 内容の「Ｂ生命・地球」の(5)のアの(ｱ)については，地球から見た太陽と月との位置関係で扱うものとする。
2544,理科,第３　指導計画の作成と内容の取扱い
2545,理科,１　指導計画の作成に当たっては，次の事項に配慮するものとする。
2546,理科,(1) 単元など内容や時間のまとまりを見通して，その中で育む資質・能力の育成に向けて，児童の主体的・対話的で深い学びの実現を図るようにすること。その際，理科の学習過程の特質を踏まえ，理科の見方・考え方を働かせ，見通しをもって観察，実験を行うことなどの，問題を科学的に解決する学習活動の充実を図ること。
2547,理科,(2) 各学年で育成を目指す思考力，判断力，表現力等については，該当学年において育成することを目指す力のうち，主なものを示したものであり，実際の指導に当たっては，他の学年で掲げている力の育成についても十分に配慮すること。
2548,理科,(3) 障害のある児童などについては，学習活動を行う場合に生じる困難さに応じた指導内容や指導方法の工夫を計画的，組織的に行うこと。
2549,理科,(4) 第１章総則の第１の２の(2)に示す道徳教育の目標に基づき，道徳科などとの関連を考慮しながら，第３章特別の教科道徳の第２に示す内容について，理科の特質に応じて適切な指導をすること。
2550,理科,２　第２の内容の取扱いについては，次の事項に配慮するものとする。
2551,理科,(1) 問題を見いだし，予想や仮説，観察，実験などの方法について考えたり説明したりする学習活動，観察，実験の結果を整理し考察する学習活動，科学的な言葉や概念を使用して考えたり説明したりする学習活動などを重視することによって，言語活動が充実するようにすること。
2552,理科,(2) 観察，実験などの指導に当たっては，指導内容に応じてコンピュータや情報通信ネットワークなどを適切に活用できるようにすること。また，第１章総則の第３の１の(3)のイに掲げるプログラミングを体験しながら論理的思考力を身に付けるための学習活動を行う場合には，児童の負担に配慮しつつ，例えば第２の各学年の内容の〔第６学年〕の「Ａ物質・エネルギー」の(4)における電気の性質や働きを利用した道具があることを捉える学習など，与えた条件に応じて動作していることを考察し，更に条件を変えることにより，動作が変化することについて考える場面で取り扱うものとする。
2553,理科,(3) 生物，天気，川，土地などの指導に当たっては，野外に出掛け地域の自然に親しむ活動や体験的な活動を多く取り入れるとともに，生命を尊重し，自然環境の保全に寄与する態度を養うようにすること。
2554,理科,(4) 天気，川，土地などの指導に当たっては，災害に関する基礎的な理解が図られるようにすること。
2555,理科,(5) 個々の児童が主体的に問題解決の活動を進めるとともに，日常生活や他教科等との関連を図った学習活動，目的を設定し，計測して制御するという考え方に基づいた学習活動が充実するようにすること。
2556,理科,(6) 博物館や科学学習センターなどと連携，協力を図りながら，それらを積極的に活用すること。
2557,理科,３　観察，実験などの指導に当たっては，事故防止に十分留意すること。また，環境整備に十分配慮するとともに，使用薬品についても適切な措置をとるよう配慮すること。
2558,生活,第５節　生活
2559,生活,"第１　目標
具体的な活動や体験を通して，身近な生活に関わる見方・考え方を生かし，自立し生活を豊かにしていくための資質・能力を次のとおり育成することを目指す。"
2560,生活,(1) 活動や体験の過程において，自分自身，身近な人々，社会及び自然の特徴やよさ，それらの関わり等に気付くとともに，生活上必要な習慣や技能を身に付けるようにする。
2561,生活,(2) 身近な人々，社会及び自然を自分との関わりで捉え，自分自身や自分の生活について考え，表現することができるようにする。
2562,生活,(3) 身近な人々，社会及び自然に自ら働きかけ，意欲や自信をもって学んだり生活を豊かにしたりしようとする態度を養う。
2563,生活,第２　各学年の目標及び内容
2564,生活,〔第１学年及び第２学年〕
2565,生活,１　目標　
